Epoch 1, train f1 0.8763748976904906, valid f1 0.8862592743454976, best valid f1 0.8862592743454976, train loss -97.05378951132298, valid loss -11.620319559080599.
Epoch 2, train f1 0.8729589355459278, valid f1 0.8905803412747297, best valid f1 0.8862592743454976, train loss -97.18258538842201, valid loss -14.275763263463887.
Epoch 3, train f1 0.8705121790315951, valid f1 0.8867513525640058, best valid f1 0.8862592743454976, train loss -102.02546166420507, valid loss -12.91649005187901.
Epoch 4, train f1 0.8721929345591317, valid f1 0.8823417085448064, best valid f1 0.8823417085448064, train loss -101.47771909832954, valid loss -12.748877883581372.
Epoch 5, train f1 0.876433613500065, valid f1 0.8799601215165109, best valid f1 0.8799601215165109, train loss -95.79076054692268, valid loss -15.695612353956676.
Epoch 6, train f1 0.8646190217434999, valid f1 0.8881725113667766, best valid f1 0.8799601215165109, train loss -108.51899993419647, valid loss -12.142656889738646.
Epoch 7, train f1 0.8623283122642069, valid f1 0.8903390168873241, best valid f1 0.8799601215165109, train loss -110.8453858345747, valid loss -11.980953637568746.
Epoch 8, train f1 0.8750104569080971, valid f1 0.8808169296196524, best valid f1 0.8799601215165109, train loss -97.75381353497505, valid loss -14.15767792038605.
Epoch 9, train f1 0.8840913509343565, valid f1 0.8919831814269865, best valid f1 0.8799601215165109, train loss -93.52753706276417, valid loss -12.487769269442651.
Early Stopping!
