Epoch 1, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.75536525249481, valid loss 13.027057766914368.
Epoch 2, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 89.94674146175385, valid loss 10.368174076080322.
Epoch 3, train f1 0.5249912979432575, valid f1 0.5550977744361543, best valid f1 0.5550977744361543, train loss 65.48770040273666, valid loss 7.929517149925232.
Epoch 4, train f1 0.6456282892901974, valid f1 0.6968003439341517, best valid f1 0.6968003439341517, train loss 55.677993178367615, valid loss 6.840604692697525.
Epoch 5, train f1 0.7225002100653769, valid f1 0.7863482410526772, best valid f1 0.7863482410526772, train loss 48.72136890888214, valid loss 6.117899984121323.
Epoch 6, train f1 0.8197296504721764, valid f1 0.8864421149750819, best valid f1 0.8864421149750819, train loss 43.067382872104645, valid loss 5.361028969287872.
Epoch 7, train f1 0.9063559318879669, valid f1 0.9255065201199953, best valid f1 0.9255065201199953, train loss 36.37468847632408, valid loss 4.751465290784836.
Epoch 8, train f1 0.9353133365755127, valid f1 0.9533481389995329, best valid f1 0.9533481389995329, train loss 33.23798072338104, valid loss 4.3599057495594025.
Epoch 9, train f1 0.9497408635146313, valid f1 0.9624186991869919, best valid f1 0.9624186991869919, train loss 31.749440759420395, valid loss 4.189454734325409.
Epoch 10, train f1 0.9541552329760219, valid f1 0.9633517274549916, best valid f1 0.9633517274549916, train loss 30.989290356636047, valid loss 4.14043802022934.
Epoch 11, train f1 0.9668087764388866, valid f1 0.9440708587332084, best valid f1 0.9633517274549916, train loss 29.863855123519897, valid loss 4.244820207357407.
Epoch 12, train f1 0.9692738435052513, valid f1 0.9607158486459619, best valid f1 0.9633517274549916, train loss 29.64645516872406, valid loss 4.121658682823181.
Epoch 13, train f1 0.9782959830304526, valid f1 0.9724493423391398, best valid f1 0.9724493423391398, train loss 28.663187742233276, valid loss 3.9901510775089264.
Epoch 14, train f1 0.9814442781377972, valid f1 0.980838172830798, best valid f1 0.980838172830798, train loss 28.32555478811264, valid loss 3.954173117876053.
Epoch 15, train f1 0.9791566763475397, valid f1 0.9824999999999999, best valid f1 0.9824999999999999, train loss 28.50657430291176, valid loss 3.895092397928238.
Epoch 16, train f1 0.9787340918007983, valid f1 0.9833504174926001, best valid f1 0.9833504174926001, train loss 28.779750257730484, valid loss 3.803338944911957.
Epoch 17, train f1 0.9830248721971002, valid f1 0.9799230015830258, best valid f1 0.9833504174926001, train loss 28.11640313267708, valid loss 3.8652931451797485.
Epoch 18, train f1 0.9846866087118611, valid f1 0.9858613276736249, best valid f1 0.9858613276736249, train loss 28.164290964603424, valid loss 3.797545850276947.
Epoch 19, train f1 0.9902101644813515, valid f1 0.9899595968083579, best valid f1 0.9899595968083579, train loss 27.57809516787529, valid loss 3.7070459723472595.
Epoch 20, train f1 0.9892729993976086, valid f1 0.9815364863540503, best valid f1 0.9899595968083579, train loss 27.376501113176346, valid loss 3.751918911933899.
Epoch 21, train f1 0.9879210031854209, valid f1 0.9883255418707096, best valid f1 0.9899595968083579, train loss 27.52704682946205, valid loss 3.7171397507190704.
Epoch 22, train f1 0.9887548681851542, valid f1 0.9849969690846636, best valid f1 0.9899595968083579, train loss 27.648495972156525, valid loss 3.724859595298767.
