Epoch 43, train f1 0.7344048623497654, valid f1 0.6932640119784853, best valid f1 0.7329825036314345, train loss 57.623298704624176, valid loss 8.55449515581131.
Epoch 44, train f1 0.7251857685897605, valid f1 0.7414391785580992, best valid f1 0.7414391785580992, train loss 58.258259534835815, valid loss 7.887751936912537.
Epoch 45, train f1 0.7333013511284054, valid f1 0.7420074856531738, best valid f1 0.7420074856531738, train loss 57.44372516870499, valid loss 7.760896563529968.
Epoch 46, train f1 0.7330860456959701, valid f1 0.7256479782664538, best valid f1 0.7420074856531738, train loss 57.94108659029007, valid loss 7.737549901008606.
Epoch 47, train f1 0.7331331552734595, valid f1 0.716433119074799, best valid f1 0.7420074856531738, train loss 57.23388093709946, valid loss 8.066986739635468.
Epoch 48, train f1 0.732791346420697, valid f1 0.7348004292390531, best valid f1 0.7420074856531738, train loss 58.471389412879944, valid loss 7.900065720081329.
Epoch 49, train f1 0.7252854619803663, valid f1 0.749475541416383, best valid f1 0.749475541416383, train loss 58.03720587491989, valid loss 7.8078731298446655.
Epoch 50, train f1 0.7344792890678545, valid f1 0.7150966281297796, best valid f1 0.749475541416383, train loss 57.569383800029755, valid loss 8.061888724565506.
Epoch 51, train f1 0.7425152730633224, valid f1 0.7261706056238204, best valid f1 0.749475541416383, train loss 56.85795843601227, valid loss 7.937771558761597.
Epoch 52, train f1 0.7363028008170984, valid f1 0.7120784314962226, best valid f1 0.749475541416383, train loss 57.263712644577026, valid loss 8.095378875732422.
Epoch 53, train f1 0.7373505158968308, valid f1 0.7154970912194301, best valid f1 0.749475541416383, train loss 56.991132378578186, valid loss 7.999658763408661.
Epoch 54, train f1 0.736812978955278, valid f1 0.7373169247172904, best valid f1 0.749475541416383, train loss 56.9011914730072, valid loss 7.500424444675446.
Epoch 55, train f1 0.7462473784379147, valid f1 0.7323622987041278, best valid f1 0.749475541416383, train loss 56.28130114078522, valid loss 7.899028182029724.
Epoch 56, train f1 0.7428452105026163, valid f1 0.7377241279653839, best valid f1 0.749475541416383, train loss 56.463827431201935, valid loss 7.909385979175568.
Epoch 57, train f1 0.7563684616242499, valid f1 0.708059682860211, best valid f1 0.749475541416383, train loss 55.758775770664215, valid loss 7.874056160449982.
Epoch 58, train f1 0.7514520947316805, valid f1 0.7331526067698997, best valid f1 0.749475541416383, train loss 56.231304585933685, valid loss 8.096277952194214.
Early Stopping!
