Epoch 1, train f1 0.16666666666666666, valid f1 0.16666666666666666, best valid f1 0.16666666666666666, train loss 100.63243079185486, valid loss 12.945291757583618.
Epoch 2, train f1 0.23459360020431025, valid f1 0.5519442709827682, best valid f1 0.5519442709827682, train loss 85.06702470779419, valid loss 9.289382576942444.
Epoch 3, train f1 0.6069976590714871, valid f1 0.5755787995009454, best valid f1 0.5755787995009454, train loss 60.734975934028625, valid loss 7.560271829366684.
Epoch 4, train f1 0.6880073711852106, valid f1 0.7809872377808027, best valid f1 0.7809872377808027, train loss 52.072193920612335, valid loss 6.4504974484443665.
Epoch 5, train f1 0.8046199519367736, valid f1 0.882878254794403, best valid f1 0.882878254794403, train loss 43.88665169477463, valid loss 5.557229042053223.
Epoch 6, train f1 0.8843637326550922, valid f1 0.9282441115965143, best valid f1 0.9282441115965143, train loss 37.619286358356476, valid loss 4.6332699954509735.
Epoch 7, train f1 0.9427967611040063, valid f1 0.9457107304825262, best valid f1 0.9457107304825262, train loss 32.08823883533478, valid loss 4.207215189933777.
Epoch 8, train f1 0.960376706371809, valid f1 0.9774746868671716, best valid f1 0.9774746868671716, train loss 30.20949962735176, valid loss 3.9665445685386658.
Epoch 9, train f1 0.9774811080865055, valid f1 0.9675684793585151, best valid f1 0.9774746868671716, train loss 28.66241145133972, valid loss 3.8683847784996033.
Epoch 10, train f1 0.9795599469726028, valid f1 0.9749774797317586, best valid f1 0.9774746868671716, train loss 28.15589940547943, valid loss 3.824928939342499.
Epoch 11, train f1 0.9863436641821849, valid f1 0.9899595968083579, best valid f1 0.9899595968083579, train loss 27.795605689287186, valid loss 3.766331732273102.
Epoch 12, train f1 0.9855025253411276, valid f1 0.9850237523752375, best valid f1 0.9899595968083579, train loss 27.89021274447441, valid loss 3.754778116941452.
Epoch 13, train f1 0.9828009244606046, valid f1 0.9874748118702967, best valid f1 0.9899595968083579, train loss 27.96449312567711, valid loss 3.7578831911087036.
Epoch 14, train f1 0.9874982912270085, valid f1 0.9775318516495636, best valid f1 0.9899595968083579, train loss 27.433588176965714, valid loss 3.845968782901764.
Epoch 15, train f1 0.9887580183262471, valid f1 0.9799602410542372, best valid f1 0.9899595968083579, train loss 27.33959525823593, valid loss 3.7183777689933777.
Epoch 16, train f1 0.9945822944468612, valid f1 0.9924983121202271, best valid f1 0.9924983121202271, train loss 26.931672006845474, valid loss 3.6060463190078735.
Epoch 17, train f1 0.9901112545733423, valid f1 0.9749605721639478, best valid f1 0.9924983121202271, train loss 27.380214005708694, valid loss 3.80613774061203.
Epoch 18, train f1 0.9959359267663133, valid f1 0.989998312120227, best valid f1 0.9924983121202271, train loss 26.8145512342453, valid loss 3.7061652839183807.
Epoch 19, train f1 0.9931243950366025, valid f1 0.994999499949995, best valid f1 0.994999499949995, train loss 26.843777060508728, valid loss 3.6843410432338715.
Epoch 20, train f1 0.9916625982888313, valid f1 0.9924998124953123, best valid f1 0.994999499949995, train loss 26.98332706093788, valid loss 3.655369848012924.
Epoch 21, train f1 0.9912505003936428, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 27.032743841409683, valid loss 3.51127427816391.
Epoch 22, train f1 0.9971894476408212, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.629775434732437, valid loss 3.5407558381557465.
Epoch 23, train f1 0.9974992163064544, valid f1 0.9949871852856927, best valid f1 0.9974999374984375, train loss 26.579254001379013, valid loss 3.593220889568329.
Epoch 24, train f1 0.9944786713975212, valid f1 0.9974999374984375, best valid f1 0.9974999374984375, train loss 26.876742839813232, valid loss 3.6477301716804504.
Epoch 25, train f1 0.9940652032177022, valid f1 0.994999499949995, best valid f1 0.9974999374984375, train loss 26.797655910253525, valid loss 3.646513491868973.
Epoch 26, train f1 0.9944780624977682, valid f1 0.994999499949995, best valid f1 0.9974999374984375, train loss 26.800733029842377, valid loss 3.614875018596649.
Epoch 27, train f1 0.9952086732138437, valid f1 1.0, best valid f1 1.0, train loss 26.730803430080414, valid loss 3.513984262943268.
Epoch 28, train f1 0.9984373041991422, valid f1 0.9949871852856927, best valid f1 1.0, train loss 26.397317975759506, valid loss 3.563982218503952.
Epoch 29, train f1 0.9989577462960545, valid f1 0.9950000000000001, best valid f1 1.0, train loss 26.403466403484344, valid loss 3.563668191432953.
Epoch 30, train f1 0.9981249985360701, valid f1 0.994999499949995, best valid f1 1.0, train loss 26.395851850509644, valid loss 3.5831305980682373.
Epoch 31, train f1 0.9978121069329796, valid f1 0.9974999374984375, best valid f1 1.0, train loss 26.41153860092163, valid loss 3.5181084871292114.
Epoch 32, train f1 0.999062499633789, valid f1 1.0, best valid f1 1.0, train loss 26.319683104753494, valid loss 3.508009910583496.
Epoch 33, train f1 0.9984382778364459, valid f1 0.9925238847869242, best valid f1 1.0, train loss 26.42839741706848, valid loss 3.5782331228256226.
Epoch 34, train f1 0.9968763612143524, valid f1 1.0, best valid f1 1.0, train loss 26.65634498000145, valid loss 3.498326599597931.
Epoch 35, train f1 0.9978107288526561, valid f1 1.0, best valid f1 1.0, train loss 26.48070979118347, valid loss 3.506151497364044.
Epoch 36, train f1 0.9984369096658934, valid f1 0.9974999374984375, best valid f1 1.0, train loss 26.398104578256607, valid loss 3.5081525444984436.
